"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
19,-0.0654172736393505,0.510732426236116,"anger","Right OFC","Q2","Survey","V2_ptagg"
18,-0.0552505952976613,0.510543023825556,"sadness","Right VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
18,0.0524060254431075,0.509751341494485,"joy","Right VLPFC","Q3","Survey","V2_ptagg"
20,-0.0788358673021707,0.509320729059638,"joy","Left FPC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.0683891846183874,0.50864151140606,"joy","Left FPC","Q1","Survey","V2_ptagg"
18,-0.0622680232548575,0.508191655161878,"anger","Left OFC","Average_eye_openness","ET","V2_ptagg"
18,-0.0462505830517975,0.508191655161878,"anger","Right OFC","Average_eye_openness","ET","V2_ptagg"
19,-0.0643082565687339,0.507791759050276,"joy","Left DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.0660370015519862,0.505790918069389,"anger","Right FPC","Q3","Survey","V2_ptagg"
19,-0.0650206409413847,0.505649954443546,"fear","Right DLPFC","Average_eye_openness","ET","V2_ptagg"
19,-0.0578441941184812,0.50496269068182,"fear","Left DLPFC","Q3","Survey","V2_ptagg"
20,-0.0700583100937284,0.50461951675617,"fear","Right FPC","Total_duration_of_fixations","ET","V2_ptagg"
20,-0.0718072180513795,0.504546455815047,"fear","Right FPC","Q3","Survey","V2_ptagg"
20,-0.0711776113398201,0.504543580158401,"anger","Right FPC","Q2","Survey","V2_ptagg"
20,-0.0688225330789346,0.504305100783292,"fear","Right FPC","Average_pupil_diameter","ET","V2_ptagg"
20,-0.0706097472291984,0.504287224153625,"fear","Right DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
20,-0.0722195523285923,0.502333512332493,"joy","Right FPC","Q4","Survey","V2_ptagg"
18,0.0309151582304086,0.50154611594355,"anger","Left DLPFC","Average_eye_openness","ET","V2_ptagg"
18,-0.0385055664885842,0.501051934602086,"joy","Right VLPFC","Q2","Survey","V2_ptagg"
19,0.0537567243615449,0.500258764007496,"joy","Left DLPFC","Q_mean","Survey","V2_ptagg"
20,-0.0625723114138971,0.499944008243029,"disgust","Left VLPFC","Q1","Survey","V2_ptagg"
19,-0.0482099035833489,0.499726457694356,"fear","Left DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.0685120063489763,0.499616260823811,"anger","Left FPC","Q4","Survey","V2_ptagg"
20,-0.0634147625606959,0.498877825287688,"disgust","Left VLPFC","Q3","Survey","V2_ptagg"
19,-0.046820019631686,0.498293618237699,"disgust","Left DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
19,0.044748527933375,0.497317959895709,"fear","Left DLPFC","Number_of_fixations","ET","V2_ptagg"
18,-0.0108821539611005,0.497107543292676,"anger","Right VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
18,-0.0243286142911467,0.497033608066967,"anger","Right VLPFC","Average_pupil_diameter","ET","V2_ptagg"
18,0.0210413579544366,0.496917101811605,"joy","Right VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
18,0.0209726608760216,0.496840416937031,"disgust","Right VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
19,0.0503609153196826,0.496803221014667,"joy","Left DLPFC","Q4","Survey","V2_ptagg"
20,-0.0575230191645833,0.496462473985375,"anger","Right FPC","Q_mean","Survey","V2_ptagg"
18,0.0172628671846267,0.49592106037532,"joy","Right VLPFC","Q_mean","Survey","V2_ptagg"
18,0.00378987558297918,0.495355438118189,"anger","Right VLPFC","Q2","Survey","V2_ptagg"
20,-0.0607403100565018,0.494545529376237,"fear","Left VLPFC","Q4","Survey","V2_ptagg"
19,-0.0357719623719776,0.49405193811229,"fear","Left OFC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.0327211536610913,0.49405193811229,"fear","Right OFC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.0424393133390452,0.49378980800283,"joy","Left OFC","Q_mean","Survey","V2_ptagg"
19,-0.0387077876265368,0.49378980800283,"joy","Right OFC","Q_mean","Survey","V2_ptagg"
20,0.0576118782714441,0.493669510597843,"joy","Left VLPFC","Q4","Survey","V2_ptagg"
20,-0.0535636756476824,0.492647813608472,"anger","Left FPC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.0437176982204348,0.492597754362676,"fear","Right FPC","Average_eye_openness","ET","V2_ptagg"
